"","ic","ci"
"77",22.87248,48.2251474183737
"78",23.13648,48.1498310275393
"79",23.25248,48.0473181796682
"80",23.55448,47.8860821024814
"81",23.61448,47.7988925857255
"82",23.67048,47.5691680205857
"83",23.80448,47.4384783633931
"84",23.85448,47.3010641081202
"85",23.94448,47.0797377400597
"86",23.94448,47.0797377400597
"87",24.10148,46.8712319685656
"88",24.29148,46.7825228713233
"89",24.40748,46.532218070305
"90",24.40748,46.532218070305
"91",24.54948,46.3702145503784
"92",24.73948,46.0837184281816
"93",24.73948,46.0837184281816
"94",24.84688,45.8495665201763
"95",24.91248,45.5038687376313
"96",24.92248,45.3599094491098
"97",24.93648,45.0195605779989
"98",24.94648,44.880989454964
"99",24.94948,44.6166807234358
"100",24.96948,44.5930380840489
"101",24.96948,49.3319967355676
"102",24.93548,49.6895716640188
"103",24.91548,49.7689316037885
"104",24.83248,50.0736472005429
"105",24.82948,50.1980498877633
"106",24.74148,50.3213934282854
"107",24.61948,50.566086128718
"108",24.50548,50.6867519922571
"109",24.24948,50.9691504394613
"110",24.08548,50.9922639213962
"111",23.96048,51.3605674953906
"112",23.96048,51.3605674953906
"113",23.73748,51.6437304853676
"114",23.61848,52.025348213119
"115",23.51848,52.0334588616026
"116",23.24848,52.3217544237815
"117",23.07448,52.5725973896025
"118",22.99348,52.9265946853116
"119",22.91548,52.9712373190074
"120",22.60748,53.2583616953463
"121",22.54548,53.2761001282162
"122",22.39248,53.4283391358198
"123",22.28548,53.6773897728831
"124",22.09168,53.8778434698726
"125",22.08348,54.1591316226181
"126",22.00548,54.2742790689614
"127",21.77748,54.5592309142876
"128",21.77748,54.5592309142876
"129",21.60748,54.8182473517018
"130",21.60748,54.8182473517018
"131",21.40748,54.9488225431824
"132",21.26748,55.1132451957897
"133",21.09648,55.384850861927
"134",20.94848,55.5154044592761
"135",20.94048,55.6965168056796
"136",20.77848,55.8810459920329
"137",20.63248,55.9644566259966
"138",20.52748,56.0017664737537
"139",20.46548,56.1917330226234
"140",20.30548,56.4486936848676
"141",20.28148,56.7357963198415
"142",20.28148,56.7357963198415
"143",20.16348,56.976269911314
"144",20.16348,56.976269911314
"145",20.00548,57.223335287154
"146",19.82748,57.2561508071405
"147",19.65148,57.4471595026163
"148",19.58748,57.6540522629358
"149",19.47548,57.8040812973479
"150",19.34948,57.9032116201519
"151",19.24748,57.9692473212587
"152",18.83748,58.0320551172584
"153",18.79548,58.05743072278
"154",18.60648,58.2000527186509
"155",18.60648,58.2000527186509
"156",18.47848,58.5446990492471
"157",18.37848,58.6935171182516
"158",18.34048,58.7722251336718
"159",18.24048,58.9212388854215
"160",18.03248,59.0695308237304
"161",17.93248,59.2199065693294
"162",17.89348,59.2687568677615
"163",17.78348,59.4921713756368
"164",17.69148,59.7280024450822
"165",17.58148,59.8334470077935
"166",17.48748,60.1161832618168
"167",17.38748,60.1187415622123
"168",17.31348,60.3510605235813
"169",17.21548,60.5512718634662
"170",16.80148,60.8233194293484
"171",16.75548,61.1407165113077
"172",16.56348,61.2049572595944
"173",16.07348,61.3045500530633
"174",15.73448,61.4152219360631
"175",15.48448,61.5630788382986
"176",15.48448,61.5630788382986
"177",15.07448,61.6719475661984
"178",15.07448,61.6719475661984
"179",14.85248,61.8145065774577
"180",14.85248,61.8145065774577
"181",14.52468,61.8468280678457
"182",14.36068,61.9057709251563
"183",14.03068,61.9810505255957
"184",14.03068,61.9810505255957
"185",13.75448,62.0593444428413
"186",13.75448,62.0593444428413
"187",13.53248,62.2019034541005
"188",13.53248,62.2019034541005
"189",13.40248,62.3908343716772
"190",12.86448,62.5176553409186
"191",12.38868,62.5746406960542
"192",11.85068,62.6319064051171
"193",11.75068,62.6427375820687
"194",11.47668,62.6886805928083
"195",11.15648,62.7125151586868
"196",11.15648,62.7125151586868
"197",10.78448,62.7597868246866
"198",10.71248,62.7892575721327
"199",10.34068,62.8056185820433
"200",10.27668,62.8564507908702
