"binomial","area"
"Kryptopterus bicirrhis",346114.099999999
"Kryptopterus cheveyi",56668.9000000001
"Kryptopterus cryptopterus",2170.7
"Kryptopterus dissitus",31862.1
"Kryptopterus geminus",342290.999999999
"Kryptopterus paraschilbeides",16636.9
"Labeo angra",21371.5
"Labeo barbatulus",73769.1
"Labeo chrysophekadion",362258.600000001
"Labeo dyocheilus",4055.9
"Labeo indramontri",24702.9
"Labeo pierrei",62084.2
"Labiobarbus leptocheilus",280495.9
"Labiobarbus lineatus",17381
"Labiobarbus siamensis",180584.9
"Laides longibarbis",491939.5
"Laocypris hispida",9296.5
"Leiodon cutcutia",528.6
"Leiognathus equulus",357.5
"Lepidocephalichthys berdmorei",2726.1
"Lepidocephalichthys birmanicus",2726.1
"Lepidocephalichthys furcatus",155330.8
"Lepidocephalichthys hasselti",429640.6
"Lepidocephalichthys kranos",4653.2
"Leptobarbus rubripinna",80292.5
"Lobocheilos melanotaenia",108565.2
"Lobocheilos rhabdoura",179205.7
"Longiculter siahi",12666.6
"Luciocyprinus striolatus",59167.4
"Luciosoma bleekeri",143668.2
"Luciosoma setigerum",41232.5
"Luciosoma trinema",1220.4
"Lutjanus argentimaculatus",478.6
"Lycothrissa crocodilus",46193.6
"Macrochirichthys macrochirus",568503.6
"Macrognathus circumcinctus",328127.9
"Macrognathus maculatus",127303.2
"Macrognathus semiocellatus",159758.6
"Macrognathus siamensis",97680.2000000001
"Macrognathus taeniagaster",15280.9
"Macropodus erythropterus",142.3
"Macropodus opercularis",4707.8
"Mastacembelus armatus",38263
"Mastacembelus erythrotaenia",47409.8
"Mastacembelus favus",307362.3
"Megalops cyprinoides",202.6
"Mekongina bibarba",10598.7
"Mekongina erythrospila",105420.5
"Metzia alba",297.2
"Metzia lineata",384.4
"Microcobitis misgurnoides",142.3
"Microphis brachyurus",49182.3
"Microphysogobio kachekensis",297.2
"Microphysogobio vietnamica",2119.9
"Minyclupeoides dentibranchialus",34438.8
"Misgurnus anguillicaudatus",2119.9
"Misgurnus mizolepis",2119.9
"Misgurnus mohoity",2119.9
"Monopterus albus",610139.800000001
"Mugilogobius chulae",2827.7
"Mugilogobius latifrons",3210.8
"Mugilogobius rambaiae",5243.1
"Mystacoleucus atridorsalis",225631.3
"Mystacoleucus chilopterus",36861.1
"Mystacoleucus ectypus",41856.8
"Mystacoleucus greenwayi",39420.5
"Mystacoleucus lepturus",53082.2000000001
"Mystacoleucus marginatus",501063.1
"Mystus abbreviatus",9791.8
"Mystus albolineatus",54253.8
"Mystus atrifasciatus",150757.7
"Mystus bocourti",4492
"Mystus cavasius",6828.7
"Mystus keletius",942.1
"Mystus multiradiatus",317719.9
"Mystus mysticetus",107213.1
"Mystus nigriceps",15288.2
"Mystus rhegma",107979.5
"Mystus singaringan",438977.3
"Mystus vittatus",11537.4
"Mystus wolffii",2757.2
"Nandus nandus",98.4
"Nandus nebulosus",55.7
"Nandus oxyrhynchus",314443.9
"Nemacheilus arenicolus",5677.6
"Nemacheilus banar",5202.7
"Nemacheilus binotatus",2653.3
"Nemacheilus cleopatra",155.2
"Nemacheilus longistriatus",138233.6
"Nemacheilus masyae",89140.9
"Nemacheilus pallidus",66881.9
"Nemacheilus platiceps",171213
"Neobarynotus microlepis",37006.4
"Neolissochilus blanci",355464.3
"Neolissochilus nigrovittatus",5261.5
"Neopomacentrus taeniurus",776.8
"Neostethus bicornis",187208.9
"Nibea soldado",4038.2
"Notopterus notopterus",583322.800000001
"Omobranchus ferox",55.7
"Omox biporos",19017.3
"Ompok bimaculatus",15375.6
"Ompok canio",14804.4
"Ompok pinnatus",10453.5
"Ompok siluroides",553846.2
"Ompok sindensis",14804.4
"Ompok urbaini",392651.2
"Onychostoma fusiforme",116385.7
"Onychostoma gerlachi",87.2
"Onychostoma meridionale",84802.4999999999
"Ophiocara porocephala",3180.6
"Ophisternon bengalense",350.6
"Opsariichthys bidens",83154.7
"Opsariichthys hieni",384.4
"Opsarius bernatziki",4375.2
"Opsarius koratensis",285341
"Opsarius pulchellus",413175.900000001
"Oreichthys parvus",5685.5
"Oreochromis mossambicus",4998.2
"Oreochromis niloticus",8178.7
"Oreoglanis delacouri",4587.8
"Oreoglanis frenatus",1704.3
"Oreoglanis hypsiurus",4006.9
"Oreoglanis lepturus",994.8
"Oreoglanis macronemus",14395.4
"Oreoglanis setiger",4668.5
