"OBJECTID","Code","Name","Lat","Lon","Head","DesignQ","Ad_MRC","MeanQ_m3s","InstalledC","MeanAnnual","Cost_MioD","FSL","LSL","LiveStorag","GrossStora","ReservoirA","DamHeight","ReferenceY","ReferenceB","COD","Status","log_IC","status","country","incl","rem","mit","scen"
126,"V010","Buon Kuop",12.5244444444,107.931388889,98.5,316,7980,217,280,1458.6,299.958,412,409,25.63,73.78,5.6,34,2003,299.958,2009,"E",2.44715803134222,"existing","V","1","0","0","B1"
127,"V011","Dray Hlinh 2",12.6769444444,107.913333333,18.5,101.02,8880,241,16,85.04,13.49,302,299,1.5,2.9,0,7,2006,13.49,2007,"E",1.20411998265592,"existing","V","1","0","0","B1"
128,"V012","Sre Pok 3",12.7541666667,107.861388889,60,412.8,9410,250.6,220,1060.2,266.89,272,267,62.85,218.99,17.68,52.5,2005,266.89,2010,"E",2.34242268082221,"existing","V","1","0","0","B1"
129,"V013","Sre Pok 4",12.8730555556,107.780555556,17.07,468.9,9568,273,80,329.26,92.45,207,204,8.44,29.32,3.75,25,2008,92.45,2010,"E",1.90308998699194,"existing","V","1","0","0","B1"
130,"V014","Dray Hlinh 1",12.6769444444,107.913333333,15.8,94.9,8880,241,12,94,3.082,302,299,1.5,2.9,0,7,1990,3.082,1990,"E",1.07918124604762,"existing","V","1","0","0","B1"
133,"T002","Huai Kum",16.413,101.797166667,23,5.5,282,76,1.18,2,7.28,312,298,20,20,2.4,35.6,1978,7.28,1982,"E",0.0718820073061254,"existing","T","1","0","0","B1"
138,"T007","Lam Ta Khong P.S.",14.8028333333,101.5505,360,165,1430,261,500,400,613.6,277,261,299.6,319.9,0,40.3,1994,613.6,2001,"E",2.69897000433602,"existing","T","1","0","0","B1"
1,"L001","Nam Ngum 1",18.5305999848,102.550000046,38.5,414.4,8460,427,155,1006,97,212,196,1002,7003.99,369.42,75,1971,97,1971,"E",2.19033169817029,"existing","L","2","0","0","S0"
3,"L003","Xelabam",15.3553648392,105.831578188,17,38,6360,185.4,5,23.5,2,119.3,118,0.8,0.8,0.55,3.7,1968,2,1970,"E",0.698970004336019,"existing","L","2","0","0","S0"
4,"L004","Xeset 1",15.7596999893,106.331400028,153.4,33,325,18,45,154.3,51,482,479,0.3,2.33,0.1,18,1990,51,1991,"E",1.65321251377534,"existing","L","2","0","0","S0"
5,"L005","Theun-Hinboun",18.258299987,104.56110004,225.5,106,8927,460,220,1327,240,400,395,15,29.94,6.25,27,1994,240,1998,"E",2.34242268082221,"existing","L","2","0","0","S0"
9,"L009","Nam Ko",20.7841999865,102.11330005,34.5,5.4,223,6,1.5,5,6.7,525,523,0.0045,0,0.0048,6,1996,6.7,1996,"E",0.176091259055681,"existing","L","2","0","0","S0"
10,"L010","Nam Ngay",21.8017508954,102.114566694,17,8.5,315,8.5,1.2,3.5,9,455.5,452.5,0.674,0.7,0.25,26.93,2000,9,2002,"E",0.0791812460476248,"existing","L","2","0","0","S0"
12,"L012","Xekaman 3",15.4360999912,107.336700023,102,62.24,712,29.56,250,982.8,266,960,925,108.54,141.5,5.2,99,2004,266,2015,"C",2.39794000867204,"existing","L","2","0","0","S0"
14,"L014","Nam Ngum 2",18.7532999852,102.776700045,159.5,448,5640,193.5,615,1976,760,375,335,2970,3590,122.2,181,2005,760,2012,"E",2.78887511577542,"existing","L","2","0","0","S0"
15,"L015","Nam Lik 1-2",18.7957999846,102.120800047,74.5,187,1993,99.4,100,460,149,305,270,826,1341.8,24.4,101.4,2005,149,2010,"E",2,"existing","L","2","0","0","S0"
17,"L017","Xekaman 1",14.963299991,107.151700023,101.2,344,3580,175,290,1096,343.6,230,218,1683,4804,149.8,110,2007,343.6,2017,"C",2.46239799789896,"existing","L","2","0","0","S0"
18,"L018","Xekaman-Sanxay",14.8955999872,105.118100031,12.2,378,3740,152,32,123,39.8,122,122,0,0,0,28,2007,39.8,2017,"C",1.50514997831991,"existing","L","2","0","0","S0"
19,"L019","Theun-Hinboun expansion",18.258299987,104.56110004,225.5,110,8937,215,220,1395,185,400,395,15,29.94,6.3,27,2007,185,2013,"E",2.34242268082221,"existing","L","2","0","0","S0"
20,"L020","Theun-Hinboun exp. (NG8)",18.2791999871,104.63610004,47,134,2942,95.7,60,294,163,455,420,2262,2450,105,67,2007,163,2013,"E",1.77815125038364,"existing","L","2","0","0","S0"
21,"L021","Nam Ngum 3",19.0832999856,102.878300046,301,103,3888,98,480,2077,684.7,720,660,1411,1322,27.5,220,2006,684.7,2019,"C",2.68124123737559,"existing","L","2","0","0","S0"
22,"L022","Nam Theun1",18.3566999865,104.148300041,130,519.9,14070,263,600,1840,816,292,250,2921,2772,80.7,177,2007,816,2020,"C",2.77815125038364,"existing","L","2","0","0","S0"
23,"L023","Nam Ngiep 1",18.6466999859,103.521700043,127,230,3700,147,272,1327,366.2,320,296,1192,2241,66.9,151,2001,366.2,2019,"C",2.4345689040342,"existing","L","2","0","0","S0"
24,"L024","Nam Ngiep-regulating dam",18.647799986,103.571900043,10,160,3750,164,18,108,29.7,181,176,4.7,8.29,11.1,21,2001,29.7,2019,"C",1.25527250510331,"existing","L","2","0","0","S0"
